history_id,station_name,province,lon,lat,elev (m),HDD (degC-day),Tmean (degC),Tmax (degC),Tmin (degC)
2112,KUGAARUK A,NU,-89.7972,68.5406,16,11210.05556,-13.02005225,18.42,-44.23
2117,RANKIN INLET A,NU,-92.1167,62.8167,32,10348.81071,-10.45109317,16.47931034,-40.46551724
2132,WHALE COVE A,NU,-92.5981,62.24,12,10077.09286,-9.63870649,16.16,-38.5
2141,ALERT,NU,-62.2806,82.5178,30,13051.21111,-17.68377973,10.25,-42.68
2163,CAMBRIDGE BAY A,NU,-105.138,69.1081,31,11537.34194,-13.70197834,15.0125,-41.96875
2169,CAPE DORSET A,NU,-76.525,64.2303,48,9830.707143,-8.609603183,13.92105263,-34.29473684
2173,CAPE DYER A,NU,-61.6167,66.5833,393,10604.38889,-11.61851253,10.69090909,-38.5
2179,CLYDE A,NU,-68.5167,70.4861,27,11260.29286,-12.60855609,11.4,-40.10625
2193,EUREKA A,NU,-85.9333,79.9833,10,13336.38667,-18.63463955,10.58484848,-47.59393939
2204,HALL BEACH A,NU,-81.2425,68.7758,9,11515.57273,-13.28872951,13.676,-41.384
2216,IQALUIT A,NU,-68.55,63.75,34,10032.78947,-9.257631313,14.8047619,-38.86190476
2252,POND INLET A,NU,-77.9689,72.6894,62,11796.40667,-14.69601694,11.93333333,-42.2
2263,RESOLUTE CARS,NU,-94.9694,74.7169,68,12261.14286,-15.32235263,10.26129032,-41.69032258
2274,TALOYOAK A,NU,-93.5833,69.55,27,11633.41111,-14.04642001,14.415,-42.28
2290,ULUKHAKTOK A,NT,-117.806,70.7628,36,10701.13333,-11.34608569,16.64615385,-39.53076923
2309,ALLIANCE SOUTH,AB,-111.783,52.4167,713,5268.8,3.965155088,23.95,-30.44166667
2311,ANDREW,AB,-112.233,54.0167,610,5908.607143,2.592907734,22.84705882,-32.14705882
2328,BRETON,AB,-114.483,53.1667,843,5383.011111,3.948219321,21.22727273,-26.09090909
2332,BRIGHTVIEW,AB,-113.717,52.9833,815,5368.677778,3.311145379,23.07692308,-30.29230769
2333,BROWNFIELD,AB,-111.469,52.3192,755,5518.788462,3.053085926,24.36071429,-32.03571429
2336,BUSBY,AB,-113.889,53.9968,701,5682.7,3.223627501,22.03333333,-29.92222222
2342,CALMAR,AB,-113.863,53.2897,720,5456.36087,3.349268758,22.32,-30.684
2346,CAMROSE,AB,-112.817,53.05,739,5548.030769,2.868377276,22.40357143,-30.13571429
2351,CHAILEY,AB,-111.25,53.55,670,5652.725,2.486060936,24.18333333,-32.175
2361,CONTRACOSTA LAKE,AB,-111.55,51.7667,792,5546.909091,3.036355649,23.22307692,-30.71538462
2369,DAKOTA WEST,AB,-113.95,52.75,865,5424.047619,3.19720823,21.93181818,-30.14090909
2387,EDMONTON NAMAO A,AB,-113.467,53.6667,688,5372.066667,3.334893238,19.21428571,-28.45714286
2395,EDMONTON WOODBEND,AB,-113.75,53.4167,671,5448.777273,3.092756037,22.44347826,-29.69565217
2400,ELK ISLAND NAT PARK,AB,-112.868,53.6828,716,5495.391667,3.202013949,21.52666667,-30.39333333
2403,ELK POINT,AB,-111.067,53.8833,605,6066.18,1.248561215,23.14285714,-35.39285714
2409,FABYAN,AB,-111,52.9667,698,5759.690909,2.278501352,23.66363636,-31.01818182
2414,FORESTBURG PLANT SITE,AB,-112.12,52.4675,663,5140.555556,4.710726781,24.06363636,-29.40909091
2417,FORT SASKATCHEWAN,AB,-113.183,53.7167,620,5496.376923,3.31619636,22.9875,-31.45
2431,GWYNNE,AB,-113.183,52.95,768,5531.85,2.659458164,21.86315789,-31.17894737
2441,HIGHVALE,AB,-114.467,53.45,747,5092,3.891051522,23.06,-27.11
2455,KINSELLA RANCH,AB,-111.517,53,705,5581.4,3.085903473,22.84666667,-29.38
2468,LLOYDMINSTER A,AB,-110.072,53.3092,668,5838.987097,2.286853623,22.09142857,-31.44857143
2499,OLIVER TREE NURSERY,AB,-113.367,53.65,648,5316.763636,3.377588942,21.10833333,-31.30833333
2501,PARADISE VALLEY,AB,-110.35,53.1167,658,5823.08,2.030650073,24.33809524,-32.71904762
2511,RANFURLY,AB,-111.65,53.45,686,5697.7125,2.80844504,23.72222222,-27.85555556
2513,RANFURLY 2NW,AB,-111.733,53.4167,673,5635.270588,2.838092746,23.82777778,-30.57222222
2528,ST LINA,AB,-111.45,54.3,633,6043.46087,1.487597553,22.184,-33.244
