history_id,station_name,province,lon,lat,elev (m),annual_pr (mm)
944,POINT ATKINSON,BC,-123.265,49.3304,14,1305
961,PORT MOODY GLENAYRE,BC,-122.881,49.2792,130,1952
965,RICHMOND NATURE PARK,BC,-123.093,49.1708,3,1254
967,SARDIS,BC,-121.895,49.0819,107,1504
970,SEYMOUR FALLS,BC,-122.971,49.4403,244,3993
971,STAVE FALLS,BC,-122.367,49.2333,110,2334
973,STEVESTON,BC,-123.189,49.1306,0,1068
974,SUMAS CANAL,BC,-122.11,49.1133,9,1873
977,SURREY KWANTLEN PARK,BC,-122.86,49.1922,78,1579
978,SURREY MUNICIPAL HALL,BC,-122.828,49.1067,76,1328
979,SURREY NEWTON,BC,-122.847,49.1333,73,1418
998,VANCOUVER HARBOUR CS,BC,-123.122,49.2954,3,1540
1013,VANCOUVER UBC,BC,-123.25,49.25,76,1275
1033,WHALLEY FOREST NURSERY,BC,-122.833,49.1833,84,1562
1036,WHITE ROCK CAMPBELL SCIENTIFIC,BC,-122.784,49.0181,13,1154
1039,WHITE ROCK STP,BC,-122.784,49.0186,13,1101
1059,N VANCOUVER CLEVELAND,BC,-123.107,49.3597,157,2368
1079,N VAN SEYMOUR HATCHERY,BC,-122.967,49.4375,177,3797
1081,N VANC SONORA DR,BC,-123.097,49.3625,183,2333
1095,HOPE A,BC,-121.498,49.3683,39,1890
1103,HOPE SLIDE,BC,-121.233,49.2667,685,1222
1109,LILLOOET CEDAR FALLS,BC,-121.867,50.6,555,398
1113,LILLOOET SETON BCHPA,BC,-121.924,50.6733,198,329
1129,SHALALTH,BC,-122.241,50.7283,244,514
1147,HEDLEY,BC,-120.077,49.3572,517,360
1151,HIGHLAND VALLEY LORNEX,BC,-121.017,50.4667,1268,382
1153,JOE RICH CREEK,BC,-119.126,49.8572,875,582
1157,KELOWNA A,BC,-119.378,49.9561,430,369
1165,KELOWNA PC BURNETTS NURSERY,BC,-119.484,49.8742,350,331
1177,MCCULLOCH,BC,-119.2,49.8,1250,705
1182,MERRITT STP,BC,-120.801,50.1142,609,312
1191,OKANAGAN CENTRE,BC,-119.445,50.0561,370,399
1196,OLIVER,BC,-119.564,49.1658,315,312
1198,OLIVER STP,BC,-119.545,49.179,297,311
1204,OSOYOOS WEST,BC,-119.443,49.0319,297,308
1206,OYAMA,BC,-119.367,50.1142,440,460
1208,PEACHLAND,BC,-119.717,49.7833,345,391
1217,PENTICTON A,BC,-119.602,49.4631,344,325
1220,PRINCETON A,BC,-120.513,49.4678,702,344
1228,SUMMERLAND CDA,BC,-119.65,49.5667,454,315
1232,VERNON BELLA VISTA,BC,-119.31,50.2642,427,424
1234,VERNON COLDSTREAM RANCH,BC,-119.2,50.2167,482,457
1237,VERNON NORTH,BC,-119.271,50.3443,538,491
1243,WINFIELD,BC,-119.416,50.0366,506,376
1254,BEAVERDELL NORTH,BC,-119.047,49.4783,838,475
1260,GRAND FORKS,BC,-118.466,49.0262,532,497
