history_id,station_name,province,lon,lat,elev (m),TJul2.5 (degC)
2117,RANKIN INLET A,NU,-92.1167,62.8167,32,20.7
2158,QIKIQTARJUAQ CLIMATE,NU,-64.0334,67.5474,6,11.9
2173,CAPE DYER A,NU,-61.6167,66.5833,393,14.2
2216,IQALUIT A,NU,-68.55,63.75,34,18.1
2274,TALOYOAK A,NU,-93.5833,69.55,27,17.4
2293,HOLMAN CS,NT,-117.8,70.7614,30,19.5
2329,BRETON PLOTS,AB,-114.441,53.0894,852,28.1
2346,CAMROSE,AB,-112.817,53.05,739,27.9
2365,CORONATION CLIMATE,AB,-111.449,52.0742,791,29.8
2387,EDMONTON NAMAO A,AB,-113.467,53.6667,688,26.8
2400,ELK ISLAND NAT PARK,AB,-112.868,53.6828,716,28
2468,LLOYDMINSTER A,AB,-110.072,53.3092,668,27.4
2520,ROCKY MTN HOUSE (AUT),AB,-114.912,52.4214,988,26.4
2595,VEGREVILLE,AB,-112.098,53.5053,639,28
2608,EDMONTON STONY PLAIN CS,AB,-114.108,53.5472,766,27.4
2612,ESTHER 1,AB,-110.206,51.6697,707,31
2626,WAINWRIGHT CFB AIRFIELD 21,AB,-111.096,52.8294,686,29.5575
2693,DRUMHELLER EAST,AB,-112.677,51.4453,678,31.2
2720,LACOMBE CDA 2,AB,-113.756,52.4489,860,27.62
2757,RED DEER A,AB,-113.893,52.1786,905,27.2
2800,SUNDRE A,AB,-114.683,51.7781,1114,27.7
2827,BOW ISLAND,AB,-111.45,49.7342,817,31.5
2846,BROOKS,AB,-111.849,50.5553,747,31.4
2863,CARDSTON,AB,-113.286,49.2006,1136,30.8
2877,CLARESHOLM,AB,-113.639,50.0036,1009,30.4
2938,LETHBRIDGE A,AB,-112.8,49.6303,929,31
2943,LETHBRIDGE CDA,AB,-112.767,49.695,910,31.4
3010,STAVELY AAFC,AB,-113.883,50.1833,1364,27.4
3030,VAUXHALL CDA CS,AB,-112.133,50.05,779,31.5
3078,ONEFOUR CDA,AB,-110.467,49.1167,935,33.4
3095,BANFF CS,AB,-115.552,51.1934,1397,27.9
3106,BOW VALLEY,AB,-115.067,51.0833,1298,28.7
3131,CROWSNEST,AB,-114.482,49.6275,1303,28.6
3154,JASPER WARDEN,AB,-118.03,52.9264,1020,29.4
3217,WATERTON PARK GATE,AB,-113.809,49.1311,1289,29.3
3277,BARRHEAD CS,AB,-114.448,54.0947,648,28.5
3399,MILDRED LAKE,AB,-111.559,57.0411,310,28.9
3450,SLAVE LAKE A,AB,-114.783,55.3,581,25.8125
3512,BEAVERLODGE RCS,AB,-119.396,55.1967,745,27
3584,GRANDE PRAIRIE A,AB,-118.885,55.1797,669,26.9
3595,HIGH LEVEL A,AB,-117.165,58.6214,338,27.4
3651,PEACE RIVER A,AB,-117.447,56.2269,571,26.8
3738,GARDEN RIVER,AB,-113.866,58.7108,241,28.8075
3742,COLD LAKE A,AB,-110.283,54.4167,541,27.5
3766,BROADVIEW,SK,-102.571,50.3681,600,28.9
3808,ESTEVAN A,SK,-102.967,49.2167,580,30.6
3839,INDIAN HEAD CDA,SK,-103.65,50.55,579,28.5
3858,LAST MOUNTAIN CS,SK,-105.25,51.4167,497,29.2
3973,WATROUS EAST,SK,-105.4,51.6667,526,28.4
3992,YORKTON A,SK,-102.467,51.2667,498,28.6
4002,WEYBURN,SK,-103.8,49.7,589,30.6
4011,ASSINIBOIA AIRPORT,SK,-105.946,49.7292,726,31.1725
4029,ELBOW CS,SK,-106.583,51.1333,595,30.4
4068,MAPLE CREEK,SK,-109.466,49.9025,767,31.8
4100,SWIFT CURRENT A,SK,-107.683,50.3,817,30.4
4103,SWIFT CURRENT CDA,SK,-107.733,50.2667,825,30.34
4110,LEADER AIRPORT,SK,-109.501,50.9095,676,31.7
4122,CORONACH SPC,SK,-105.483,49.05,756,32.3
4123,CYPRESS HILLS PARK,SK,-109.514,49.6406,1271,27.8
4127,EASTEND CYPRESS (AUT),SK,-108.989,49.4378,1080,29.8
4143,ROCKGLEN (AUT),SK,-105.979,49.1678,917,30.6
4148,VAL MARIE SOUTHEAST,SK,-107.586,49.0583,796,33.2
4184,KINDERSLEY A,SK,-109.183,51.5167,694,30.2
4210,ROSETOWN EAST,SK,-107.917,51.5667,586,29.6
4218,SCOTT CDA,SK,-108.835,52.3597,660,28.7
4270,MELFORT,SK,-104.6,52.8167,490,27.2
4280,OUTLOOK PFRA,SK,-107.05,51.4833,541,29.84
4285,PRINCE ALBERT A,SK,-105.667,53.2167,428,28.0325
4333,BUFFALO NARROWS (AUT),SK,-108.421,55.8406,440,26.8
4341,COLLINS BAY,SK,-103.712,58.19,490,25.5
4358,ISLAND FALLS (AUT),SK,-102.35,55.5333,297,27.3
4389,SOUTHEND,SK,-103.283,56.3333,344,27
4392,SPIRITWOOD WEST,SK,-107.55,53.3667,584,27.015
4396,STONY RAPIDS A,SK,-105.833,59.25,245,27.5
4399,WASKESIU LAKE,SK,-106.067,53.9167,569,26.8
4405,MEADOW LAKE,SK,-108.517,54.1333,481,27.5
4406,URANIUM CITY (AUT),SK,-108.483,59.5667,318,26.4
4434,NIPAWIN,SK,-104,53.3333,372,27.5
4475,BRANDON A,MB,-99.9519,49.91,409,29.2
4483,CARBERRY CS,MB,-99.3574,49.9058,384,29.1
4490,CYPRESS RIVER RCS,MB,-99.0739,49.5622,374,29.1
4542,ROBLIN,MB,-101.363,51.1833,540,27.7
4553,SHOAL LAKE CS,MB,-100.603,50.4549,561,27.6
4581,WASAGAMING,MB,-99.9419,50.655,627,27.4
4586,MELITA,MB,-100.986,49.2813,446,29.5
4610,DEERWOOD RCS,MB,-98.3192,49.3998,341,29.3
