history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day)
1231,VERNON,BC,-119.283,50.2333,556,8,-18,24,3758
1234,VERNON COLDSTREAM RANCH,BC,-119.2,50.2167,482,8,-20,25,3884
1237,VERNON NORTH,BC,-119.271,50.3443,538,9,-16,27,3531
1243,WINFIELD,BC,-119.416,50.0366,506,9,-16,26,3493
1248,PRINCETON CS,BC,-120.51,49.465,697,6,-22,22,4281
1260,GRAND FORKS,BC,-118.466,49.0262,532,8,-19,26,3852
1268,MIDWAY,BC,-118.772,49.0037,571,8,-19,25,3991
1278,CASTLEGAR A,BC,-117.632,49.2964,496,9,-13,26,3564
1287,CRESTON,BC,-116.518,49.0971,610,9,-13,25,3614
1289,CRESTON WPCC,BC,-116.529,49.0956,538,8,-15,24,3737
1290,DEER PARK,BC,-118.05,49.4167,485,9,-13,25,3658
1291,DUNCAN LAKE DAM,BC,-116.972,50.2387,549,7,-16,23,4125
1293,FAUQUIER,BC,-118.067,49.8719,490,8,-13,24,3761
1299,KASLO,BC,-116.921,49.9127,600,8,-14,24,3813
1305,LISTER,BC,-116.458,49.032,660,8,-15,26,3648
1318,NEW DENVER,BC,-117.37,49.9958,568,8,-14,25,3713
1320,NELSON CS,BC,-117.305,49.4914,535,9,-10,23,3514
1336,WARFIELD,BC,-117.75,49.1,606,9,-13,26,3582
1342,CRESTON CAMPBELL SCIENTIFIC,BC,-116.501,49.0817,641,9,-12,25,3595
1344,PASSMORE,BC,-117.648,49.5386,503,9,-13,25,3689
1355,CRANBROOK A,BC,-115.782,49.6122,940,6,-22,25,4492
1367,FORDING RIVER COMINCO,BC,-114.855,50.1486,1585,1,-27,18,6137
1368,CRANBROOK CITY,BC,-115.761,49.5092,926,6,-21,23,4365
1379,KIMBERLEY PCC,BC,-115.962,49.6316,889,6,-21,24,4583
1384,KOOTENAY NP WEST GATE,BC,-116.061,50.6308,935,6,-24,25,4557
1385,MARYSVILLE,BC,-115.957,49.6371,960,6,-21,23,4675
1392,SPARWOOD,BC,-114.883,49.7453,1138,5,-25,21,4913
