history_id,station_name,province,lon,lat,elev (m),TwJul2.5 (degC)
5365,KIRKLAND LAKE CS,ON,-80,48.15,324,22
5380,NAGAGAMI (AUT),ON,-84.1637,49.7468,264,21.6
5393,TIMMINS VICTOR POWER A,ON,-81.3767,48.5697,295,21.2
5402,ALGONQUIN PARK EAST GATE,ON,-78.2667,45.5333,397,21.5
5418,NORTH BAY A,ON,-79.4228,46.3636,370,21.4225
5431,GORE BAY A,ON,-82.5667,45.8833,194,22.1
5513,GRENADIER ISLAND,ON,-75.85,44.4167,82,24.8
5520,KEMPTVILLE CS,ON,-75.6333,45,99,24.25
5571,OTTAWA CDA RCS,ON,-75.7167,45.3833,79,23.8
5595,PETAWAWA A,ON,-77.3167,45.95,130,22.8
5661,BEAUSOLEIL,ON,-79.8667,44.85,183,23.9
5685,COLLINGWOOD,ON,-80.2167,44.5,180,23.2
5721,LAGOON CITY,ON,-79.2167,44.5472,221,24.6375
5734,MUSKOKA AWOS,ON,-79.3033,44.9747,282,22.6
5753,PARRY SOUND CCG,ON,-80.0442,45.3442,176,23.1
5774,BARRIE-ORO,ON,-79.55,44.4833,289,22.7
5808,WIARTON A,ON,-81.1072,44.7458,222,22.5
5818,EGBERT CS,ON,-79.7833,44.2333,251,23.7
5851,GODERICH,ON,-81.7167,43.7667,214,23.5
5906,BELLE RIVER,ON,-82.7,42.3,184,26.0475
5922,DELHI CS,ON,-80.55,42.8667,232,24
5945,HARROW CDA AUTO,ON,-82.9,42.0333,191,24.9
6011,SOUTHEAST SHOAL (AUT),ON,-82.4667,41.8333,195,25.1
6025,VINELAND STATION RCS,ON,-79.4,43.1833,79,23.9
6038,WINDSOR A,ON,-82.9556,42.2756,190,24.5
6049,ERIEAU (AUT),ON,-81.9001,42.2501,178,24.5
6051,POINT PELEE CS,ON,-82.5189,41.9486,177,26
6084,ELORA RCS,ON,-80.4167,43.65,376,23.1
6138,MOUNT FOREST (AUT),ON,-80.75,43.9833,415,22.8
6220,BURLINGTON PIERS (AUT),ON,-79.8,43.3,77,22.6
6242,COBOURG (AUT),ON,-78.1667,43.95,78,22.5
6273,HAMILTON A,ON,-79.9342,43.1717,238,23.9
6279,HAMILTON RBG CS,ON,-79.9083,43.2917,102,24.8
6398,POINT PETRE (AUT),ON,-77.15,43.8333,79,23.3
6438,TORONTO CITY,ON,-79.4,43.6667,113,24.6525
6479,TORONTO ISLAND A,ON,-79.395,43.6286,77,23.3
6520,TRENTON A,ON,-77.5333,44.1167,86,23.5
6551,TORONTO BUTTONVILLE A,ON,-79.37,43.8622,198,23.7
6596,PETERBOROUGH A,ON,-78.3667,44.2333,191,23.6
6613,BANCROFT AUTO,ON,-77.8789,45.0714,331,22.6
6620,BEAUPORT,QC,-71.1972,46.8369,10,23.5
6635,DESCHAMBAULT,QC,-71.9717,46.6908,61,23.2
6667,QUEBEC/JEAN LESAGE INTL A,QC,-71.3833,46.8,74,22.8
6710,SHAWINIGAN,QC,-72.7333,46.5633,110,22.9
6714,TROIS-RIVIERES,QC,-72.5161,46.3536,6,23
6731,LAC SAINT-PIERRE,QC,-72.9167,46.1833,16,22.6
6732,STE-FOY (U. LAVAL),QC,-71.2875,46.7803,91,22.4
6733,LEMIEUX,QC,-72.0608,46.3036,97,23.2
6790,FRELIGHSBURG,QC,-72.85,45.0333,224,23.2
6806,VARENNES,QC,-73.3767,45.7231,18,23.7
6826,LENNOXVILLE,QC,-71.8236,45.3689,181,23.2
6835,MCTAVISH,QC,-73.5792,45.5047,73,23.2
6845,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,QC,-73.75,45.4667,36,23.3
6857,NICOLET,QC,-72.6572,46.2258,8,23.4
6888,STE-CLOTILDE,QC,-73.6789,45.1672,53,23.5
6911,MONTREAL/ST-HUBERT A,QC,-73.4167,45.5167,27,23.3
6957,SHERBROOKE A,QC,-71.6833,45.4333,241,22.4
6980,BEAUCEVILLE,QC,-70.785,46.205,229,22.1
6991,STE-ANNE-DE-BELLEVUE 1,QC,-73.9292,45.4272,39,23.7
6992,ST-ANICET 1,QC,-74.2894,45.1208,49,24.2
7021,HIGH FALLS,QC,-75.6481,45.8394,195,22.8
7037,MANIWAKI AIRPORT,QC,-75.9919,46.2747,200,22.5
7053,STE AGATHE DES MONTS,QC,-74.2833,46.05,395,21.8
7074,ST-JOVITE,QC,-74.5558,46.0803,239,22.2
7075,BAIE-COMEAU A,QC,-68.2,49.1333,22,18.7
7085,LOURDES DE BLANC SABLON A,QC,-57.1833,51.45,37,16.1
7096,CHARLEVOIX (MRC),QC,-70.6375,47.2842,723,19.595
7098,CHEVERY,QC,-59.6394,50.465,8,16.8
7104,CAP-TOURMENTE,QC,-70.7808,47.0786,6,23.035
7109,FORET MONTMORENCY RCS,QC,-71.1483,47.3228,673,19.2
7120,HAVRE-SAINT-PIERRE A,QC,-63.6,50.2833,38,18.2
7129,ILE AUX PERROQUETS,QC,-64.2072,50.2208,9,15.8
7130,ILE ROUGE,QC,-69.5556,48.0689,6,16.1
7136,LONGUE-POINTE-DE-MINGAN,QC,-64.2264,50.2714,11,17.7
7149,NATASHQUAN A,QC,-61.8167,50.1833,11,17.8
7157,POINTE CLAVEAU,QC,-70.1144,48.2603,4,20.2
7189,LAC EON,QC,-63.2836,51.8672,589,20.6725
7194,POINTE-DES-MONTS,QC,-67.3811,49.3167,6,17.6
7204,BAIE-COMEAU,QC,-68.1458,49.2592,130,19.125
