ilocy,ilocx,annual_pr (mm),rlat,rlon,lat,lon,station_name,ratio,model_vals
605,1052,828.0,-2.209685447157001,12.281321875193253,43.9333,-79.8333,ALBION,0.9952251974927422,921.0338745117188
605,1054,783.0,-2.2048972760860535,12.378710027819109,43.9167,-79.7,COLD CREEK,0.9484653412877924,913.9173583984375
605,1058,874.0,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,RICHMOND HILL,1.0771264768507374,898.2792358398438
605,1060,865.0,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,1.0753955168171547,890.460205078125
605,1065,849.0,-2.2031377737509596,12.83476214134095,43.8167,-79.0833,FRENCHMANS BAY,1.0640269339353388,883.327392578125
607,1026,1161.0,-2.1129955462159336,11.13405684862998,44.2667,-81.3667,PAISLEY,1.463715885179082,878.0961303710938
607,1035,1069.0,-2.1149689069622255,11.537186256050747,44.1833,-80.8167,DURHAM,1.2396128498747208,954.6809692382812
607,1040,1088.0,-2.086565409940424,11.75125646889718,44.1667,-80.5167,PROTON STATION,1.2713290318886967,947.4091186523438
607,1068,863.0,-2.113258297105187,12.998996944329729,43.8667,-78.8333,OSHAWA WPCP,1.0653044299529402,896.8167114257812
608,1038,1045.0,-2.068590235243496,11.658569176059126,44.2036,-80.6378,PRICEVILLE,1.2287319011325784,941.5118408203125
608,1057,852.0,-2.07826530969464,12.48541277998624,44.0167,-79.5167,KING SMOKE TREE,1.0187439931025364,925.8511352539062
608,1064,847.0,-2.070603023094232,12.816132557622362,43.95,-79.0667,CLAREMONT,1.0413265897922532,900.4572143554688
608,1071,846.0,-2.0368723211683046,13.104326222048623,43.9167,-78.6667,BOWMANVILLE MOSTERT,1.0377788614009278,902.46875
609,1050,838.0,-2.0028898354841,12.2065379573681,44.1514,-79.8722,ALLISTON NELSON,0.9928589748670422,934.3790283203125
610,1058,781.0,-1.9837324663442533,12.525369102391949,44.1,-79.4333,SHARON,0.922562656446337,937.1773681640625
610,1069,939.0,-1.9506957967676675,13.034488807523276,44.0167,-78.7333,TYRONE,1.1430788307625064,909.4022827148438
610,1071,838.0,-1.9798754685787485,13.127739857564736,43.9667,-78.6167,ORONO,1.015248690482815,913.7727661132812
611,1033,1150.0,-1.9208176300440867,11.431423879128285,44.395,-80.9056,CHATSWORTH,1.380261585193068,922.3655395507812
611,1053,827.0,-1.9211289341184725,12.318754222071837,44.2067,-79.6947,COOKSTOWN,0.9912903610621888,923.5730590820312
611,1068,906.0,-1.9456140465990561,12.98396334043673,44.0333,-78.8,BURKETON MCLAUGHLIN,1.095923473854605,915.197021484375
