ilocy,ilocx,annual_rain (mm),rlat,rlon,lat,lon,station_name,ratio,model_vals
605,1054,652.0,-2.2048972760860535,12.378710027819109,43.9167,-79.7,COLD CREEK,0.9168873314484518,824.7368774414062
605,1058,716.0,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,RICHMOND HILL,1.018273775105749,815.5155639648438
605,1060,732.0,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,1.0469475936426602,810.9049072265625
605,1065,743.0,-2.2031377737509596,12.83476214134095,43.8167,-79.0833,FRENCHMANS BAY,1.0683906427133982,806.5708618164062
607,1026,767.0,-2.1129955462159336,11.13405684862998,44.2667,-81.3667,PAISLEY,1.1672215421909402,762.1243896484375
607,1035,786.0,-2.1149689069622255,11.537186256050747,44.1833,-80.8167,DURHAM,1.090523034484732,835.9330444335938
607,1040,753.0,-2.086565409940424,11.75125646889718,44.1667,-80.5167,PROTON STATION,1.0493598738457373,832.2509765625
607,1068,754.0,-2.113258297105187,12.998996944329729,43.8667,-78.8333,OSHAWA WPCP,1.0715933095175134,816.0657348632812
608,1038,817.0,-2.068590235243496,11.658569176059126,44.2036,-80.6378,PRICEVILLE,1.1424383959514792,829.417236328125
608,1057,726.0,-2.07826530969464,12.48541277998624,44.0167,-79.5167,KING SMOKE TREE,1.0075583187498418,835.6996459960938
608,1064,732.0,-2.070603023094232,12.816132557622362,43.95,-79.0667,CLAREMONT,1.0352069228326117,820.1016845703125
608,1071,755.0,-2.0368723211683046,13.104326222048623,43.9167,-78.6667,BOWMANVILLE MOSTERT,1.067637692976141,820.1755981445312
609,1050,680.0,-2.0028898354841,12.2065379573681,44.1514,-79.8722,ALLISTON NELSON,0.9660414605727766,816.3886108398438
