ilocy,ilocx,TwJul2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
691,1146,296.04999999999995,1.629841227873155,16.420695952523612,46.5633,-72.7333,SHAWINIGAN,1.0054884262364692,297.7624206542969
691,1237,295.04999999999995,1.6395412421004056,20.468455818948968,45.2167,-67.25,ST STEPHEN (AUT),1.005796601446914,296.66571044921875
692,1288,292.65,1.649603054462942,22.733902481009608,44.36,-64.2961,LUNENBURG,0.9980173734334595,296.5461730957031
693,746,296.95,1.7062631912498636,-1.2453482523306831,49.191,-98.9049,PILOT MOUND (AUT),0.994465267045827,301.97821044921875
693,758,297.15,1.692542360181509,-0.7087051597006615,49.1876,-98.0839,MORDEN CDA CS,0.9938859691388369,302.35772705078125
693,871,294.75,1.713228400126756,4.279978525302254,49.0333,-90.4667,UPSALA (AUT),0.9976924805276292,298.7713928222656
693,1177,295.25,1.7124441297757003,17.80970706466286,46.205,-70.785,BEAUCEVILLE,1.007875763963531,296.25439453125
693,1250,291.65,1.7154081076878958,21.04652747769824,45.0731,-66.4492,POINT LEPREAU CS,0.9946249071832498,296.5408630371094
696,649,294.45,1.8530276791510933,-5.551048048175222,49.05,-105.48299999999999,CORONACH SPC,0.9869027883223648,301.73040771484375
696,716,296.34999999999997,1.847991952515984,-2.6003980818173,49.2813,-100.986,MELITA,0.9920105909809176,302.11376953125
697,686,294.95,1.8662740844535828,-3.895667948011195,49.2167,-102.96700000000001,ESTEVAN A,0.9886317251475413,301.7142028808594
697,1029,295.15,1.8818189500908733,11.254690971329046,48.15,-80.0,KIRKLAND LAKE CS,1.004212048303967,297.2345275878906
698,755,297.04999999999995,1.9070904135438949,-0.8589369087912421,49.3998,-98.3192,DEERWOOD RCS,0.9940796569967774,302.19708251953125
698,1156,296.34999999999997,1.912047650760465,16.87935615011807,46.6908,-71.9717,DESCHAMBAULT,1.0090795988158199,297.0033874511719
699,807,296.34999999999997,1.9895314008783704,1.4543458117733938,49.4686,-94.7631,ROYAL ISLAND (AUT),0.997346981413816,300.4972839355469
699,902,294.34999999999997,1.9686975720163602,5.651807495974578,49.1539,-88.3447,CAMERON FALLS (AUT),0.9984911191298245,298.1272888183594
700,618,292.95,2.0296618475819366,-6.918639867745951,49.0583,-107.586,VAL MARIE SOUTHEAST,0.9808741628398641,302.0383605957031
700,642,292.95,2.0064448994585153,-5.860683129353336,49.1678,-105.979,ROCKGLEN (AUT),0.9831962568420405,301.32501220703125
